Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,TRUE,50,989,All Levels,1,2017-04-24T16:42:56Z,Business Finance
Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,TRUE,20,5841,All Levels,1.5,2016-06-14T15:43:23Z,Business Finance
Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,TRUE,200,1087,All Levels,9.5,2017-03-23T05:54:27Z,Business Finance
"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,TRUE,200,611,Beginner Level,1,2017-06-07T17:15:07Z,Business Finance
Intro to Investment Banking  M&A  IPO  Modeling + Free Book,https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,TRUE,60,1922,All Levels,20,2016-01-21T01:25:31Z,Business Finance
How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,TRUE,150,9015,All Levels,2.5,2014-07-01T20:04:27Z,Business Finance
Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,TRUE,20,661,All Levels,1,2017-05-02T21:59:07Z,Business Finance
Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,TRUE,105,1077,Beginner Level,6,2016-08-19T20:12:24Z,Business Finance
Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,TRUE,20,6050,Beginner Level,1.5,2014-05-18T19:08:04Z,Business Finance
Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,TRUE,150,3523,All Levels,4,2016-01-10T21:39:39Z,Business Finance
Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,FALSE,0,56659,Beginner Level,1.5,2013-04-07T21:39:25Z,Business Finance
SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,TRUE,100,1444,Beginner Level,5,2016-07-25T16:08:07Z,Business Finance
Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,TRUE,60,2900,Intermediate Level,2.5,2014-10-19T22:04:51Z,Business Finance
Accounting Superpowers: Learn Accounts  Understand Business!,https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,TRUE,200,1437,Beginner Level,2.5,2016-08-08T22:23:09Z,Business Finance
Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,TRUE,200,453,Intermediate Level,3,2017-03-14T00:39:45Z,Business Finance
Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,TRUE,20,2437,All Levels,1.5,2016-11-16T17:38:38Z,Business Finance
Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,TRUE,30,5057,Beginner Level,1,2015-02-06T07:12:25Z,Business Finance
Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,TRUE,95,6092,Beginner Level,1.5,2016-11-03T05:22:20Z,Business Finance
EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,TRUE,95,4530,All Levels,1.5,2015-08-06T19:08:20Z,Business Finance
Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,TRUE,60,6967,All Levels,1,2017-05-02T20:53:24Z,Business Finance
Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,TRUE,20,727,Beginner Level,3,2017-04-26T18:17:51Z,Business Finance
Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,TRUE,20,1560,All Levels,3,2016-08-31T22:03:44Z,Business Finance
